Site_Name_,Site_Abbreviation,Land_Use,Lat,Long
Brynes_Mill,BYR,Urban,39.698,-75.6652
Middle_Run,MR,Forested,39.7214,-75.7304
Nature_Center_Beach,NCB,Agriculture,39.7273,-75.7663
Woolen_Mill,WM,Urban,39.6893,-75.7493
Camp_Bonsul_Road,CB,Agriculture,39.7474,-75.8828
Tweeds_Mill,TM,Agriculture,39.7261,-75.7675
Brandywine_Zoo,BZ,Urban,39.7587,-75.5549
Casho_Mill,CM,Suburban,39.6829,-75.7799
Cooches_Bridge,COB,Urban,39.6477,-75.7423
Cottage_Mill,RH,Suburban,39.6567,-75.761
Cider_Mill,CDM,Suburban,39.6923,-75.7553
Grammies_Run,GMT,Forested,39.6856,-75.8503
Scott's_Mill_2,SM2,Agriculture,39.6937,-75.8268
Scott's_Mill_3,SM3,Agriculture,39.6852,-75.8274
Big_Elk_Bridge,BEB,Agriculture,39.7132,-75.8373
